State;Up;Down;Left;Right;Stay
9,18|3,15;0.6;-0.45;0;1.756158;-0.15
10,18|4,15;1.21278;-0.288;0;0.6;-0.15
10,18|5,15;1.038;-0.58554;0.009869391;1.737414;-0.093
10,18|6,15;1.02;0;-0.2974781;0;0
9,18|6,16;2.548229;-0.603;0;0.8802601;0.2098245
9,18|7,17;2.085208;-0.32136;0;3.003955;-0.3159
9,18|8,17;1.186636;0;-1.13985;1.626028;0.4020319
8,18|8,18;0;0;0;0;0
8,11|4,11;0.6;0;0;0;0
8,12|3,11;0;-0.288;-0.100242;0.6;0
9,12|2,11;0.762;0;0;0.6;0
10,12|1,11;1.02;-0.45;-0.45;0.99852;0
10,13|0,11;-0.15;-0.4896;-0.45;0.636126;-0.15
10,13|0,12;0;0;-0.7784478;1.78218;0
9,13|0,13;0.2883955;0.7668601;-0.96696;0;0.1919418
8,13|1,13;-0.2244;0;-0.4429457;1.822794;0.1553298
8,13|2,13;0;1.51974;0;1.182;0.3307155
8,12|3,13;-0.685252;1.2954;-0.45;0;0.1358695
7,12|4,13;-0.288;0.9596401;0;0;0.5150447
7,12|5,13;-0.2925963;2.278428;-0.092142;1.486573;-0.1594191
7,13|6,13;-0.255;2.122232;-1.247895;2.020143;-0.255
7,13|7,13;0;0;0;0;0
7,19|5,15;0.1525251;-0.3063352;0;2.506987;0.1980951
7,19|5,16;-0.005033229;-0.1293007;-0.944901;1.631463;-0.12714
7,18|5,17;0.6;0;-0.45;2.225485;0.2385679
6,18|5,18;1.615662;0.6371009;-0.9855;0.8920853;-0.3285
5,18|5,18;0;0;0;0;0
14,15|9,16;-0.45;-0.093;-0.45;0;0
14,16|10,16;-0.72954;-0.288;-0.45;0.618;-0.15
14,17|10,17;0.8155564;1.745369;-0.45;0.6306;-0.255
14,17|11,17;-0.432;1.0506;-0.3952224;1.512057;-0.093
14,17|12,17;0.6;-0.45;-0.765;0;0.141894
14,17|13,17;1.478672;0.7705144;-1.13985;2.294433;-0.15
14,18|14,17;2.99256;0;-0.06454074;1.315995;-0.37995
14,18|14,18;0;0;0;0;0
13,2|7,4;-0.3284942;0.6;-0.45;-0.15;0.012
